state_abbrev,city,total_incidents,deaths,deaths_over_incidents,injured,injuries_over_incidents,total_casualties,casualties_over_incidents,armed_robbery,armed_robberies_over_incidents,gang_involvement,gang_incidents_over_incidents,home_invasion,home_invasions_over_incidents,domestic_violence,domestic_violence_incidents_over_incidents,road_rage,road_rage_incidents_over_incidents,mass_shooting,mass_shootings_over_incidents,teen_incidents,teen_incidents_over_incidents,drug_raid,drug_raids_over_incidents,suicide,suicides_over_incidents
PA,Johnstown,69,26,0.376811594,30,0.434782609,56,0.811594203,1,0,1,0,0,0,6,0,0,0,2,0,0,0,5,0,3,0
LA,Metairie,122,29,0.237704918,70,0.573770492,99,0.81147541,15,0,0,0,3,0,5,0,3,0,1,0,0,0,5,0,4,0
NV,Henderson,53,30,0.566037736,13,0.245283019,43,0.811320755,7,0,0,0,5,0,8,0,2,0,0,0,0,0,0,0,6,0
SC,Loris,52,13,0.25,29,0.557692308,42,0.807692308,7,0,0,0,10,0,2,0,0,0,1,0,0,0,4,0,0,0
OH,Dayton (Trotwood),62,16,0.258064516,34,0.548387097,50,0.806451613,1,0,1,0,4,0,5,0,0,0,1,0,1,0,2,0,1,0
NJ,Camden,253,124,0.490118577,80,0.316205534,204,0.806324111,29,0,3,0,1,0,3,0,0,0,2,0,0,0,4,0,1,0
OK,Lawton,121,26,0.214876033,71,0.58677686,97,0.801652893,7,0,0,0,8,0,5,0,0,0,0,0,1,0,4,0,0,0
TN,Nashville,1319,261,0.19787718,796,0.603487491,1057,0.80136467,159,0,9,0,61,0,51,0,10,0,6,0,76,0,19,0,11,0
IN,Fort Wayne,602,144,0.239202658,338,0.561461794,482,0.800664452,78,0,16,0,25,0,41,0,3,0,6,0,13,0,52,0,15,0
CA,Desert Hot Springs,74,20,0.27027027,39,0.527027027,59,0.797297297,3,0,4,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0
AR,North Little Rock,122,46,0.37704918,51,0.418032787,97,0.795081967,13,0,0,0,2,0,5,0,2,0,0,0,0,0,1,0,2,0
NY,Corona (Queens),156,42,0.269230769,81,0.519230769,123,0.788461538,10,0,11,0,6,0,4,0,2,0,0,0,1,0,11,0,3,0
AR,Blytheville,101,24,0.237623762,55,0.544554455,79,0.782178218,5,0,0,0,6,0,3,0,0,0,1,0,0,0,1,0,1,0
GA,Atlanta,1357,377,0.277818718,684,0.504053058,1061,0.781871776,163,0,8,0,59,0,28,0,6,0,18,0,3,0,8,0,13,0
OH,Lorain,113,22,0.194690265,66,0.584070796,88,0.778761062,9,0,5,0,8,0,9,0,0,0,0,0,2,0,4,0,4,0
VA,Alexandria,84,18,0.214285714,47,0.55952381,65,0.773809524,8,0,1,0,4,0,2,0,2,0,1,0,2,0,4,0,2,0
SC,Florence,128,29,0.2265625,70,0.546875,99,0.7734375,10,0,0,0,7,0,7,0,0,0,0,0,1,0,1,0,2,0
CA,Riverside,97,28,0.288659794,47,0.484536082,75,0.773195876,5,0,3,0,4,0,2,0,1,0,2,0,0,0,7,0,4,0
FL,Sanford,88,18,0.204545455,50,0.568181818,68,0.772727273,7,0,0,0,6,0,4,0,1,0,1,0,0,0,0,0,0,0
OH,Akron,385,101,0.262337662,196,0.509090909,297,0.771428571,51,0,3,0,44,0,26,0,3,0,3,0,11,0,16,0,2,0
NJ,Trenton,729,85,0.11659808,477,0.654320988,562,0.770919067,39,0,4,0,9,0,16,0,0,0,6,0,2,0,57,0,0,0
CA,Visalia,109,36,0.330275229,48,0.440366972,84,0.770642202,9,0,18,0,6,0,6,0,1,0,1,0,1,0,1,0,3,0
NY,Buffalo,954,156,0.163522013,577,0.604821803,733,0.768343816,47,0,29,0,22,0,12,0,5,0,7,0,7,0,65,0,4,0
LA,Monroe,150,42,0.28,73,0.486666667,115,0.766666667,18,0,0,0,7,0,6,0,0,0,1,0,0,0,1,0,2,0
AL,Auburn,51,19,0.37254902,20,0.392156863,39,0.764705882,3,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,3,0
CO,Denver,690,208,0.301449275,319,0.462318841,527,0.763768116,27,0,15,0,21,0,11,0,4,0,6,0,4,0,4,0,6,0
SC,North Charleston,395,111,0.281012658,190,0.481012658,301,0.762025316,37,0,1,0,9,0,6,0,3,0,4,0,3,0,24,0,3,0
AL,Dothan,84,16,0.19047619,48,0.571428571,64,0.761904762,10,0,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0
MI,Muskegon,67,13,0.194029851,38,0.567164179,51,0.76119403,9,0,0,0,1,0,7,0,0,0,2,0,3,0,1,0,0,0
GA,Gainesville,54,16,0.296296296,25,0.462962963,41,0.759259259,4,0,1,0,3,0,5,0,0,0,0,0,0,0,7,0,3,0
PA,Allentown,203,44,0.216748768,110,0.541871921,154,0.75862069,14,0,5,0,10,0,12,0,3,0,0,0,1,0,14,0,5,0
CA,San Diego,372,116,0.311827957,166,0.446236559,282,0.758064516,36,0,14,0,14,0,14,0,1,0,5,0,4,0,5,0,15,0
CA,Bakersfield,605,153,0.252892562,305,0.504132231,458,0.757024793,18,0,106,0,7,0,12,0,2,0,5,0,0,0,17,0,12,0
OH,Springfield,186,39,0.209677419,101,0.543010753,140,0.752688172,8,0,1,0,14,0,9,0,1,0,2,0,6,0,2,0,3,0
FL,Tampa,602,151,0.250830565,302,0.50166113,453,0.752491694,58,0,0,0,22,0,13,0,10,0,7,0,2,0,6,0,7,0
FL,Palm Bay,60,13,0.216666667,32,0.533333333,45,0.75,1,0,0,0,4,0,8,0,2,0,1,0,0,0,3,0,0,0
TN,Madison,76,15,0.197368421,42,0.552631579,57,0.75,14,0,0,0,9,0,1,0,1,0,0,0,2,0,1,0,0,0
IN,Muncie,87,19,0.218390805,46,0.528735632,65,0.747126437,11,0,1,0,10,0,7,0,0,0,0,0,6,0,7,0,0,0
CA,Oakland,1478,321,0.217185386,783,0.529769959,1104,0.746955345,77,0,19,0,34,0,6,0,10,0,13,0,1,0,3,0,4,0
IL,Waukegan,51,12,0.235294118,26,0.509803922,38,0.745098039,11,0,2,0,0,0,2,0,0,0,0,0,2,0,5,0,0,0
MS,Tupelo,70,17,0.242857143,35,0.5,52,0.742857143,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0
FL,Tallahassee,260,67,0.257692308,126,0.484615385,193,0.742307692,14,0,1,0,13,0,5,0,1,0,1,0,1,0,24,0,5,0
NV,Reno,232,69,0.297413793,103,0.443965517,172,0.74137931,20,0,13,0,1,0,5,0,2,0,0,0,1,0,0,0,7,0
MI,Grand Rapids,352,45,0.127840909,215,0.610795455,260,0.738636364,60,0,4,0,12,0,11,0,0,0,2,0,12,0,5,0,6,0
FL,Pompano Beach,65,21,0.323076923,27,0.415384615,48,0.738461538,14,0,1,0,5,0,0,0,2,0,1,0,2,0,1,0,1,0
GA,Brunswick,84,21,0.25,41,0.488095238,62,0.738095238,10,0,2,0,8,0,9,0,0,0,0,0,0,0,5,0,1,0
OH,Warren,129,27,0.209302326,68,0.527131783,95,0.736434109,6,0,1,0,7,0,8,0,1,0,1,0,2,0,5,0,2,0
NC,Jacksonville,68,20,0.294117647,30,0.441176471,50,0.735294118,5,0,1,0,4,0,8,0,2,0,0,0,0,0,1,0,3,0
FL,Leesburg,52,11,0.211538462,27,0.519230769,38,0.730769231,4,0,1,0,3,0,3,0,1,0,0,0,0,0,3,0,1,0
NY,Syracuse,642,76,0.118380062,392,0.6105919,468,0.728971963,43,0,6,0,16,0,8,0,1,0,3,0,9,0,46,0,1,0
NE,Omaha,923,144,0.156013001,527,0.570964247,671,0.726977248,99,0,16,0,57,0,16,0,9,0,4,0,5,0,12,0,12,0
FL,Clearwater,73,25,0.342465753,28,0.383561644,53,0.726027397,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,4,0
LA,Hammond,62,22,0.35483871,23,0.370967742,45,0.725806452,6,0,0,0,4,0,4,0,0,0,0,0,0,0,1,0,0,0
SC,Greenville,291,82,0.281786942,129,0.443298969,211,0.725085911,27,0,2,0,15,0,7,0,2,0,0,0,1,0,11,0,8,0
SC,Richland (county),69,6,0.086956522,44,0.637681159,50,0.724637681,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,Augusta,328,73,0.222560976,164,0.5,237,0.722560976,40,0,1,0,18,0,11,0,1,0,1,0,0,0,7,0,4,0
AL,Decatur,97,23,0.237113402,47,0.484536082,70,0.721649485,1,0,0,0,4,0,6,0,0,0,0,0,0,0,2,0,1,0
GA,Warner Robins,86,21,0.244186047,41,0.476744186,62,0.720930233,21,0,1,0,17,0,5,0,0,0,1,0,1,0,1,0,2,0
TX,Longview,154,52,0.337662338,59,0.383116883,111,0.720779221,7,0,2,0,2,0,8,0,2,0,0,0,1,0,13,0,2,0
TX,El Paso,220,71,0.322727273,87,0.395454545,158,0.718181818,18,0,6,0,2,0,15,0,0,0,2,0,3,0,3,0,15,0
FL,Bradenton,201,55,0.273631841,88,0.437810945,143,0.711442786,15,0,1,0,25,0,10,0,1,0,0,0,0,0,18,0,4,0
FL,Fort Myers,387,87,0.224806202,187,0.483204134,274,0.708010336,24,0,3,0,9,0,15,0,11,0,4,0,2,0,25,0,7,0
CA,Indio,65,19,0.292307692,27,0.415384615,46,0.707692308,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
FL,Miami Beach,65,16,0.246153846,30,0.461538462,46,0.707692308,9,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,1,0
NC,Kinston,181,21,0.116022099,107,0.591160221,128,0.70718232,10,0,3,0,1,0,1,0,0,0,0,0,4,0,4,0,0,0
IL,Decatur,140,23,0.164285714,76,0.542857143,99,0.707142857,8,0,0,0,9,0,9,0,1,0,2,0,3,0,7,0,0,0
MS,Hattiesburg,140,27,0.192857143,72,0.514285714,99,0.707142857,11,0,1,0,2,0,4,0,1,0,1,0,0,0,2,0,3,0
FL,Lake Worth,116,25,0.215517241,57,0.49137931,82,0.706896552,15,0,2,0,4,0,6,0,1,0,0,0,0,0,4,0,2,0
NM,Las Cruces,92,30,0.326086957,35,0.380434783,65,0.706521739,10,0,1,0,4,0,10,0,6,0,0,0,1,0,1,0,6,0
FL,Deland,51,12,0.235294118,24,0.470588235,36,0.705882353,6,0,0,0,6,0,6,0,1,0,0,0,0,0,2,0,2,0
FL,Winter Haven,51,13,0.254901961,23,0.450980392,36,0.705882353,7,0,2,0,7,0,5,0,0,0,0,0,0,0,6,0,1,0
SC,Charleston,217,63,0.290322581,90,0.414746544,153,0.705069124,29,0,1,0,8,0,9,0,1,0,2,0,1,0,6,0,5,0
NM,Albuquerque,739,233,0.315290934,288,0.389715832,521,0.705006766,57,0,8,0,39,0,47,0,21,0,6,0,3,0,14,0,21,0
HI,Honolulu,64,12,0.1875,33,0.515625,45,0.703125,14,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0
NC,Gastonia,84,24,0.285714286,35,0.416666667,59,0.702380952,7,0,1,0,8,0,4,0,1,0,1,0,0,0,0,0,2,0
MS,Columbus,97,24,0.24742268,44,0.453608247,68,0.701030928,6,0,0,0,8,0,5,0,1,0,0,0,0,0,0,0,0,0
VA,Lynchburg,100,20,0.2,50,0.5,70,0.7,9,0,4,0,6,0,3,0,0,0,1,0,2,0,0,0,2,0
MA,Lawrence,73,21,0.287671233,30,0.410958904,51,0.698630137,3,0,3,0,1,0,4,0,0,0,0,0,0,0,16,0,1,0
NJ,Pleasantville,73,13,0.178082192,38,0.520547945,51,0.698630137,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CA,Santa Maria,63,24,0.380952381,20,0.317460317,44,0.698412698,2,0,11,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0
IN,Terre Haute,66,16,0.242424242,30,0.454545455,46,0.696969697,4,0,1,0,2,0,8,0,0,0,0,0,4,0,5,0,2,0
CA,Victorville,56,19,0.339285714,20,0.357142857,39,0.696428571,2,0,5,0,1,0,3,0,2,0,0,0,1,0,4,0,2,0
NY,Hempstead,56,16,0.285714286,23,0.410714286,39,0.696428571,4,0,6,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
VA,Henrico (county),85,21,0.247058824,38,0.447058824,59,0.694117647,4,0,0,0,12,0,5,0,2,0,0,0,2,0,1,0,3,0
WA,Everett,101,18,0.178217822,52,0.514851485,70,0.693069307,10,0,11,0,6,0,4,0,0,0,0,0,2,0,5,0,0,0
SC,Darlington,52,12,0.230769231,24,0.461538462,36,0.692307692,3,0,0,0,3,0,1,0,2,0,0,0,0,0,3,0,0,0
IL,Joliet,198,46,0.232323232,91,0.45959596,137,0.691919192,11,0,20,0,1,0,12,0,1,0,0,0,18,0,17,0,5,0
WV,Huntington,201,26,0.129353234,113,0.562189055,139,0.691542289,15,0,0,0,9,0,10,0,1,0,1,0,2,0,12,0,0,0
FL,Deltona,81,19,0.234567901,37,0.456790123,56,0.691358025,14,0,0,0,7,0,8,0,3,0,0,0,0,0,1,0,5,0
NC,Statesville,68,15,0.220588235,32,0.470588235,47,0.691176471,2,0,0,0,6,0,7,0,0,0,1,0,1,0,9,0,2,0
NJ,Vineland,55,11,0.2,27,0.490909091,38,0.690909091,11,0,1,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0
GA,Covington,55,24,0.436363636,14,0.254545455,38,0.690909091,6,0,0,0,3,0,9,0,2,0,0,0,0,0,2,0,3,0
OK,Muskogee,58,11,0.189655172,29,0.5,40,0.689655172,5,0,0,0,2,0,2,0,2,0,0,0,0,0,8,0,1,0
GA,Moultrie,119,30,0.25210084,52,0.43697479,82,0.68907563,14,0,0,0,9,0,5,0,0,0,2,0,1,0,4,0,7,0
NC,Salisbury,173,38,0.219653179,81,0.468208092,119,0.687861272,12,0,1,0,11,0,7,0,0,0,1,0,1,0,10,0,1,0
TX,Lubbock,306,49,0.160130719,161,0.526143791,210,0.68627451,42,0,2,0,17,0,20,0,0,0,2,0,0,0,9,0,1,0
UT,Ogden,54,15,0.277777778,22,0.407407407,37,0.685185185,0,0,8,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0
CA,Oroville,60,15,0.25,26,0.433333333,41,0.683333333,1,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0
OR,Salem,104,28,0.269230769,43,0.413461538,71,0.682692308,7,0,8,0,10,0,5,0,1,0,1,0,0,0,6,0,2,0
FL,Daytona Beach,179,28,0.156424581,94,0.525139665,122,0.681564246,15,0,4,0,3,0,9,0,10,0,4,0,1,0,3,0,5,0
MI,Pontiac,238,33,0.138655462,129,0.542016807,162,0.680672269,36,0,2,0,13,0,18,0,0,0,3,0,8,0,0,0,1,0
CA,Stockton,555,150,0.27027027,227,0.409009009,377,0.679279279,37,0,24,0,9,0,6,0,1,0,10,0,5,0,18,0,1,0
FL,Lehigh Acres,118,28,0.237288136,52,0.440677966,80,0.677966102,14,0,1,0,10,0,5,0,5,0,0,0,1,0,5,0,1,0
PA,Harrisburg,384,73,0.190104167,187,0.486979167,260,0.677083333,21,0,0,0,12,0,11,0,4,0,1,0,4,0,19,0,5,0
WV,Beckley,68,9,0.132352941,37,0.544117647,46,0.676470588,8,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0
SC,Sumter,74,20,0.27027027,30,0.405405405,50,0.675675676,11,0,0,0,7,0,6,0,1,0,0,0,0,0,4,0,1,0
LA,Houma,92,26,0.282608696,36,0.391304348,62,0.673913043,6,0,1,0,3,0,7,0,0,0,1,0,2,0,3,0,2,0
CA,Fresno,1057,166,0.15704825,545,0.515610218,711,0.672658467,34,0,263,0,17,0,14,0,7,0,13,0,1,0,16,0,10,0
OK,Tulsa,1258,262,0.208267091,581,0.461844197,843,0.670111288,163,0,34,0,132,0,59,0,13,0,7,0,9,0,18,0,17,0
FL,Jacksonville,2317,421,0.181700475,1126,0.485973241,1547,0.667673716,129,0,11,0,45,0,64,0,15,0,14,0,10,0,22,0,21,0
LA,Alexandria,96,30,0.3125,34,0.354166667,64,0.666666667,2,0,0,0,3,0,3,0,2,0,0,0,1,0,1,0,1,0
FL,Ocala,280,60,0.214285714,126,0.45,186,0.664285714,26,0,2,0,23,0,18,0,2,0,1,0,0,0,25,0,11,0
AL,Huntsville,519,79,0.1522158,264,0.50867052,343,0.66088632,120,0,0,0,22,0,16,0,1,0,2,0,2,0,2,0,8,0
CT,New Haven,411,45,0.109489051,226,0.549878345,271,0.659367397,42,0,5,0,18,0,7,0,0,0,2,0,4,0,30,0,0,0
WA,Tacoma,223,57,0.255605381,90,0.403587444,147,0.659192825,26,0,8,0,8,0,16,0,3,0,1,0,4,0,5,0,5,0
GA,Albany,216,41,0.189814815,101,0.467592593,142,0.657407407,40,0,2,0,16,0,7,0,0,0,1,0,1,0,5,0,4,0
CT,Bridgeport,630,56,0.088888889,358,0.568253968,414,0.657142857,57,0,22,0,20,0,15,0,6,0,5,0,3,0,30,0,4,0
SC,Spartanburg,233,37,0.158798283,116,0.497854077,153,0.656652361,28,0,0,0,13,0,15,0,4,0,0,0,1,0,2,0,3,0
FL,Pensacola,198,47,0.237373737,83,0.419191919,130,0.656565657,15,0,2,0,17,0,10,0,1,0,0,0,0,0,12,0,5,0
FL,Saint Augustine,64,18,0.28125,24,0.375,42,0.65625,9,0,0,0,4,0,6,0,1,0,0,0,0,0,2,0,2,0
KS,Topeka,362,70,0.193370166,167,0.461325967,237,0.654696133,24,0,7,0,17,0,9,0,2,0,5,0,1,0,8,0,5,0
TX,Odessa,98,27,0.275510204,37,0.37755102,64,0.653061224,8,0,1,0,7,0,3,0,2,0,0,0,0,0,7,0,1,0
AL,Athens,57,10,0.175438596,27,0.473684211,37,0.649122807,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,2,0
PA,Erie,181,28,0.154696133,89,0.491712707,117,0.64640884,11,0,0,0,11,0,14,0,1,0,1,0,1,0,7,0,4,0
NJ,Paterson,548,69,0.125912409,285,0.520072993,354,0.645985401,59,0,8,0,7,0,2,0,0,0,3,0,0,0,34,0,0,0
NY,Albany,203,14,0.068965517,117,0.57635468,131,0.645320197,14,0,1,0,4,0,5,0,0,0,1,0,0,0,12,0,0,0
WV,Charleston,271,37,0.136531365,137,0.505535055,174,0.642066421,9,0,1,0,12,0,14,0,0,0,1,0,4,0,9,0,1,0
MS,Meridian,331,45,0.135951662,167,0.504531722,212,0.640483384,44,0,1,0,9,0,9,0,0,0,3,0,2,0,2,0,1,0
FL,Fort Lauderdale,214,60,0.280373832,77,0.359813084,137,0.640186916,17,0,0,0,1,0,7,0,1,0,2,0,1,0,0,0,3,0
NJ,Millville,94,12,0.127659574,48,0.510638298,60,0.638297872,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0
DE,New Castle,110,17,0.154545455,53,0.481818182,70,0.636363636,8,0,0,0,6,0,2,0,3,0,0,0,0,0,12,0,1,0
AK,Anchorage,469,108,0.230277186,190,0.405117271,298,0.635394456,32,0,3,0,31,0,27,0,3,0,1,0,2,0,6,0,14,0
CA,Pasadena,126,20,0.158730159,60,0.476190476,80,0.634920635,6,0,10,0,1,0,4,0,3,0,2,0,0,0,1,0,1,0
GA,Milledgeville,63,16,0.253968254,24,0.380952381,40,0.634920635,2,0,8,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0
MS,Biloxi,65,14,0.215384615,27,0.415384615,41,0.630769231,6,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,3,0
NJ,Jersey City,623,77,0.123595506,314,0.504012841,391,0.627608347,32,0,2,0,0,0,12,0,0,0,5,0,1,0,29,0,5,0
NC,Asheville,142,25,0.176056338,64,0.450704225,89,0.626760563,20,0,0,0,8,0,5,0,2,0,0,0,0,0,2,0,2,0
MI,Kalamazoo,178,33,0.185393258,78,0.438202247,111,0.623595506,9,0,2,0,14,0,11,0,2,0,2,0,1,0,20,0,3,0
NC,New Bern,82,12,0.146341463,39,0.475609756,51,0.62195122,6,0,0,0,9,0,4,0,0,0,1,0,2,0,1,0,0,0
MI,Jackson,129,16,0.124031008,64,0.496124031,80,0.620155039,6,0,1,0,6,0,6,0,0,0,1,0,2,0,2,0,2,0
OH,Canton,212,49,0.231132075,82,0.386792453,131,0.617924528,17,0,3,0,6,0,11,0,3,0,2,0,8,0,22,0,4,0
VA,Chesterfield,102,23,0.225490196,40,0.392156863,63,0.617647059,22,0,1,0,6,0,9,0,2,0,0,0,4,0,0,0,3,0
TX,Bryan,68,19,0.279411765,23,0.338235294,42,0.617647059,11,0,0,0,4,0,4,0,3,0,0,0,1,0,2,0,4,0
SC,Summerville,128,33,0.2578125,46,0.359375,79,0.6171875,11,0,0,0,8,0,7,0,0,0,0,0,1,0,1,0,3,0
MS,Gulfport,172,41,0.238372093,65,0.377906977,106,0.61627907,18,0,1,0,5,0,4,0,0,0,0,0,1,0,3,0,3,0
OH,Dayton,1016,137,0.13484252,489,0.481299213,626,0.616141732,161,0,3,0,48,0,52,0,2,0,4,0,24,0,29,0,3,0
MO,Saint Joseph,65,17,0.261538462,23,0.353846154,40,0.615384615,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
SC,Conway,130,21,0.161538462,59,0.453846154,80,0.615384615,15,0,0,0,11,0,7,0,1,0,0,0,0,0,9,0,3,0
FL,Hollywood,65,15,0.230769231,25,0.384615385,40,0.615384615,9,0,0,0,3,0,2,0,0,0,0,0,0,0,5,0,4,0
TX,Killeen,282,75,0.265957447,98,0.34751773,173,0.613475177,20,0,6,0,8,0,15,0,0,0,1,0,0,0,3,0,13,0
TX,Austin,530,129,0.243396226,196,0.369811321,325,0.613207547,43,0,2,0,20,0,20,0,13,0,5,0,3,0,7,0,16,0
GA,Columbus,816,110,0.134803922,387,0.474264706,497,0.609068627,121,0,5,0,71,0,26,0,3,0,4,0,1,0,16,0,5,0
NJ,Atlantic City,243,29,0.119341564,118,0.485596708,147,0.604938272,11,0,3,0,2,0,5,0,0,0,0,0,0,0,25,0,0,0
CT,Hartford,588,86,0.146258503,267,0.454081633,353,0.600340136,23,0,11,0,12,0,13,0,2,0,4,0,1,0,99,0,3,0
FL,Fort Pierce,236,43,0.18220339,98,0.415254237,141,0.597457627,13,0,6,0,7,0,4,0,3,0,0,0,2,0,24,0,2,0
IL,Aurora,191,29,0.151832461,85,0.445026178,114,0.596858639,11,0,24,0,2,0,9,0,1,0,0,0,11,0,10,0,2,0
TN,Jackson,342,48,0.140350877,156,0.456140351,204,0.596491228,21,0,7,0,18,0,26,0,2,0,2,0,9,0,10,0,5,0
LA,Bossier City,89,19,0.213483146,34,0.382022472,53,0.595505618,13,0,1,0,5,0,2,0,0,0,0,0,1,0,1,0,4,0
NM,Roswell,86,28,0.325581395,23,0.26744186,51,0.593023256,3,0,0,0,3,0,4,0,0,0,2,0,0,0,6,0,2,0
KS,Wichita,791,130,0.164348925,339,0.428571429,469,0.592920354,76,0,27,0,53,0,32,0,7,0,4,0,3,0,8,0,11,0
NY,Newburgh,120,15,0.125,56,0.466666667,71,0.591666667,4,0,1,0,4,0,0,0,0,0,3,0,2,0,20,0,2,0
GA,Valdosta,166,24,0.144578313,74,0.445783133,98,0.590361446,20,0,0,0,16,0,10,0,1,0,1,0,0,0,11,0,1,0
NJ,Bridgeton,100,20,0.2,39,0.39,59,0.59,7,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,1,0
VA,Woodbridge,78,10,0.128205128,36,0.461538462,46,0.58974359,6,0,0,0,1,0,4,0,1,0,0,0,3,0,0,0,2,0
FL,Crestview,51,7,0.137254902,23,0.450980392,30,0.588235294,0,0,0,0,1,0,7,0,0,0,0,0,0,0,3,0,2,0
TX,San Angelo,75,22,0.293333333,22,0.293333333,44,0.586666667,2,0,1,0,1,0,2,0,1,0,0,0,1,0,12,0,2,0
CA,Santa Rosa,77,12,0.155844156,33,0.428571429,45,0.584415584,6,0,16,0,5,0,2,0,2,0,0,0,2,0,4,0,3,0
CA,Concord,60,12,0.2,23,0.383333333,35,0.583333333,3,0,3,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0
#N/A,Washington,3189,445,0.139542176,1411,0.442458451,1856,0.582000627,451,0,1,0,8,0,8,0,3,0,25,0,3,0,5,0,7,0
MO,Cape Girardeau,143,24,0.167832168,59,0.412587413,83,0.58041958,8,0,0,0,8,0,6,0,1,0,0,0,1,0,6,0,2,0
LA,Thibodaux,57,13,0.228070175,20,0.350877193,33,0.578947368,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0
IA,Burlington,57,11,0.192982456,22,0.385964912,33,0.578947368,2,0,0,0,1,0,3,0,0,0,0,0,0,0,7,0,0,0
FL,Vero Beach,83,19,0.228915663,29,0.34939759,48,0.578313253,4,0,0,0,6,0,4,0,2,0,0,0,1,0,10,0,3,0
LA,Slidell,71,14,0.197183099,27,0.38028169,41,0.577464789,7,0,1,0,4,0,5,0,0,0,1,0,0,0,9,0,2,0
WI,Beloit,97,16,0.164948454,40,0.412371134,56,0.577319588,3,0,3,0,3,0,3,0,1,0,0,0,2,0,5,0,1,0
FL,Fort Walton Beach,78,14,0.179487179,31,0.397435897,45,0.576923077,3,0,0,0,5,0,8,0,0,0,1,0,0,0,10,0,4,0
CO,Greeley,66,14,0.212121212,24,0.363636364,38,0.575757576,3,0,5,0,4,0,3,0,2,0,0,0,0,0,2,0,2,0
TX,Wichita Falls,94,25,0.265957447,29,0.308510638,54,0.574468085,4,0,1,0,4,0,6,0,3,0,0,0,0,0,6,0,2,0
CA,Coachella,54,11,0.203703704,20,0.37037037,31,0.574074074,3,0,5,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0
NY,Schenectady,110,18,0.163636364,45,0.409090909,63,0.572727273,2,0,0,0,2,0,6,0,0,0,0,0,0,0,9,0,0,0
OH,Middletown,105,14,0.133333333,46,0.438095238,60,0.571428571,8,0,4,0,8,0,12,0,0,0,1,0,1,0,4,0,0,0
KY,Lexington,852,81,0.095070423,405,0.475352113,486,0.570422535,139,0,1,0,50,0,22,0,5,0,3,0,12,0,3,0,3,0
NC,Goldsboro,232,43,0.185344828,89,0.38362069,132,0.568965517,16,0,3,0,16,0,4,0,0,0,0,0,1,0,14,0,0,0
TX,Tyler,120,25,0.208333333,43,0.358333333,68,0.566666667,23,0,1,0,5,0,8,0,0,0,1,0,0,0,0,0,2,0
IL,Elgin,62,7,0.112903226,28,0.451612903,35,0.564516129,4,0,4,0,3,0,1,0,2,0,1,0,5,0,2,0,1,0
MN,Saint Paul,404,68,0.168316832,159,0.393564356,227,0.561881188,26,0,12,0,13,0,13,0,2,0,1,0,1,0,2,0,2,0
VA,Henrico,89,17,0.191011236,33,0.370786517,50,0.561797753,18,0,0,0,4,0,4,0,2,0,0,0,2,0,0,0,2,0
